word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
tresqu; ADV; ADV; ADVgen; tresque1; tresque; rolandox; 0 000 014
ben; ADV; ADV; ADVgen; bien; bien; rolandox; 0 000 247
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 000 257
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 000 321
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 000 427
ben; ADV; ADV; ADVgen; bien; bien; rolandox; 0 000 458
ultremer; ADV; NPR; VERinf; Ultremer; outremer; rolandox; 0 000 496
ja; ADV; ADV; ADVgen; ja; jà; rolandox; 0 000 608
enz; ADV; ADV; ADVgen; enz; ens; rolandox; 0 000 687
ensembl; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 000 771
la; ADV; DET:def; ADVgen; le; là; rolandox; 0 000 798
desuz; ADV; ADV; PRE; desoz; dessous; rolandox; 0 000 840
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 000 987
enz; ADV; ADV; ADVgen; enz; ens; rolandox; 0 001 135
desuz; ADV; ADV; PRE; desoz; dessous; rolandox; 0 001 216
desuz; ADV; ADV; PRE; desoz; dessous; rolandox; 0 001 245
ensembl; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 001 290
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 001 768
plus; ADV; ADV; ADVgen; plus; plus; rolandox; 0 001 783
ben; ADV; ADV; ADVgen; bien; bien; rolandox; 0 001 803
luign; ADV; ADV; ADVgen; loing; loin; rolandox; 0 001 864
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 001 988
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 002 102
dunc; ADV; ADV; ADVgen; donc; donc; rolandox; 0 002 293
ci; ADV; ADV; ADVgen; ci; ci; rolandox; 0 002 332
ben; ADV; ADV; ADVgen; bien; bien; rolandox; 0 002 342
tro; ADV; ADV; ADVgen; trop; trop; rolandox; 0 002 404
trop; ADV; ADV; ADVgen; trop; trop; rolandox; 0 002 486
or; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 002 489
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 002 573
mielz; ADV; ADV; ADVgen; mieus; mieux; rolandox; 0 002 734
suz; ADV; ADV; PRE; soz; sous; rolandox; 0 002 789
ca; ADV; ADV; ADVgen; ça; cà; rolandox; 0 002 845
puis; ADV; ADV; ADVgen; puis; puis; rolandox; 0 002 983
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 002 989
nient; ADV; ADV; ADVgen; nïent; néant; rolandox; 0 003 026
tant; ADV; ADV; ADVgen; tant; tant; rolandox; 0 003 032
suz; ADV; ADV; PRE; soz; sous; rolandox; 0 003 092
atant; ADV; ADV; ADVgen; atant|tant; atant; rolandox; 0 003 141
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 003 316
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 003 372
tant; ADV; ADV; ADVgen; tant; tant; rolandox; 0 003 481
tant; ADV; ADV; ADVgen; tant; tant; rolandox; 0 003 754
enz; ADV; ADV; ADVgen; enz; ens; rolandox; 0 003 790
ensembl; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 003 803
enz; ADV; ADV; ADVgen; enz; ens; rolandox; 0 003 866
josqu; ADV; ADV; PRE; jusque; jusque; rolandox; 0 003 872
melz; ADV; ADV; ADVgen; mieus; mieux; rolandox; 0 003 914
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 004 010
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 004 131
plus; ADV; ADV; ADVgen; plus; plus; rolandox; 0 004 207
dunc; ADV; ADV; ADVgen; donc; donc; rolandox; 0 004 523
bien; ADV; ADV; ADVgen; bien1|bien2|bien; bien; rolandox; 0 004 908
pois; ADV; ADV; ADVgen; puis; puis; rolandox; 0 005 027
puis; ADV; ADV; PRE; puis; puis; rolandox; 0 005 057
tresqu; ADV; ADV; ADVgen; tresque1; tresque; rolandox; 0 005 214
fierement; ADV; ADV; ADVgen; fierement; fièrement; rolandox; 0 005 530
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 005 691
dunc; ADV; ADV; ADVgen; donc; donc; rolandox; 0 005 696
einz; ADV; ADV; ADVgen; ainc|ainz; ains; rolandox; 0 005 751
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 005 764
mult; ADV; ADV; ADVgen; mout; moult; rolandox; 0 005 891
nis; ADV; ADV; ADVgen; nëis; neïs; rolandox; 0 006 106
belement; ADV; ADV; ADVgen; belement; bellement; rolandox; 0 006 525
entrequ; ADV; ADV; VERppe; UNKNOWN; entrencontrer; rolandox; 0 006 584
ben; ADV; ADV; ADVgen; bien; bien; rolandox; 0 006 799
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 006 803
asez; ADV; ADV; ADVgen; assez; assez; rolandox; 0 007 003
jamais; ADV; ADV; ADVgen; ja|jamais; jamais; rolandox; 0 007 024
entrequ; ADV; ADV; VERppe; UNKNOWN; entrencontrer; rolandox; 0 007 204
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 007 223
jusqu; ADV; ADV; PRE; jusque; jusque; rolandox; 0 007 326
josqu; ADV; ADV; PRE; jusque; jusque; rolandox; 0 007 355
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 007 368
quant; ADV; ADV; CONsub; cant; quand; rolandox; 0 007 377
dun; ADV; PRO:invar; PROrel; dont; dont; rolandox; 0 007 384
desuz; ADV; ADV; PRE; desoz; dessous; rolandox; 0 007 492
ci; ADV; ADV; ADVgen; ci; ci; rolandox; 0 007 603
desur; ADV; ADV; PRE; desor; dessure; rolandox; 0 007 668
