word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 001 447
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 002 912
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 005 495
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 007 256
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 007 801
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 811
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 012 199
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 013 773
josque; ADV; ADV; PRE; jusque; jusque; rolandox; 0 013 808
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 014 608
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 014 835
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 018
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 015 246
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 886
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 016 089
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 016 242
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 019 222
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 020 453
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 021 449
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 023 329
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 023 850
darere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 024 799
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 026 607
tresque; ADV; ADV; PRE; tresque1; tresque; rolandox; 0 028 030
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 028 103
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 029 951
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 148
mie; ADV; ADV; ADVneg; mie; mie; gorm; 0 030 354
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 428
mie; ADV; ADV; ADVneg; mie; mie; gorm; 0 030 488
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; gorm; 0 030 555
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 727
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 881
ore; ADV; ADV; ADVgen; or4|or; or; gorm; 0 031 209
mie; ADV; ADV; ADVneg; mie; mie; gorm; 0 032 233
mie; ADV; ADV; ADVneg; mie; mie; gorm; 0 033 268
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; gorm; 0 033 529
ariere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 035 118
ultre; ADV; ADV; ADVgen; outre; outre; psautier; 0 035 705
ore; ADV; ADV; ADVgen; or4|or; or; psautier; 0 036 625
multe; ADV; DET:ind; DETind; mout; moult; psautier; 0 038 518
arere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 041 530
uncore; ADV; ADV; ADVgen; encore; encore; psautier; 0 042 268
ariere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 043 613
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; psautier; 0 044 079
dunne; ADV; ADV; VERcjg; UNKNOWN; donner; psautier; 0 044 581
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; psautier; 0 046 981
ariere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 047 275
ariere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 050 611
dunne; ADV; ADV; VERcjg; UNKNOWN; donner; psautier; 0 051 542
ultre; ADV; ADV; ADVgen; outre; outre; psautier; 0 053 215
arriere; ADV; ADV; ADVgen; ariere; arrière; psautier; 0 054 427
meesme; ADV; ADV; ADJind; mïemement; même; psautier; 0 058 763
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; psautier; 0 059 292
jusque; ADV; ADV; PRE; jusque; jusque; psautier; 0 060 474
ore; ADV; ADV; ADVgen; or4|or; or; psautier; 0 063 167
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; psautier; 0 063 579
ultre; ADV; ADV; ADVgen; outre; outre; psautier; 0 064 734
ore; ADV; ADV; ADVgen; or4|or; or; psautier; 0 065 011
uncore; ADV; ADV; ADVgen; encore; encore; psautier; 0 065 961
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; psautier; 0 066 467
ore; ADV; ADV; ADVgen; or4|or; or; psautier; 0 066 673
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; psautier; 0 066 803
jusque; ADV; ADV; PRE; jusque; jusque; psautier; 0 067 022
jusque; ADV; ADV; PRE; jusque; jusque; psautier; 0 067 159
jusque; ADV; ADV; PRE; jusque; jusque; psautier; 0 067 316
juske; ADV; ADV; PRE; jusque; jusque; psautier; 0 067 768
ultre; ADV; ADV; ADVgen; outre; outre; psautier; 0 069 307
jusque; ADV; ADV; PRE; jusque; jusque; psautier; 0 069 835
encore; ADV; ADV; ADVgen; encore; encore; marga; 0 070 453
ensamble; ADV; ADV; ADVgen; ensemble; ensemble; marga; 0 073 427
encore; ADV; ADV; ADVgen; encore; encore; marga; 0 073 709
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; mrgri; 0 075 583
encore; ADV; ADV; ADVgen; encore; encore; nima1; 0 081 916
mie; ADV; ADV; ADVneg; mie; mie; nima1; 0 082 177
ore; ADV; ADV; ADVgen; or4|or; or; nima1; 0 083 373
ore; ADV; ADV; ADVgen; or4|or; or; nima1; 0 084 493
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; nima1; 0 084 549
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; nima1; 0 085 000
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; nima1; 0 085 113
mie; ADV; ADV; ADVneg; mie; mie; nima1; 0 085 652
ore; ADV; ADV; ADVgen; or4|or; or; nima1; 0 085 789
ore; ADV; ADV; ADVgen; or4|or; or; nima1; 0 085 920
mie; ADV; ADV; ADVneg; mie; mie; nima1; 0 087 046
mie; ADV; ADV; ADVneg; mie; mie; nima1; 0 089 013
derriere; ADV; ADV; ADVgen; derrier|derriere; derrière; nima1; 0 089 419
arriere; ADV; ADV; ADVgen; ariere; arrière; nima1; 0 089 890
encore; ADV; ADV; ADVgen; encore; encore; nima2; 0 091 796
mie; ADV; ADV; ADVneg; mie; mie; nima2; 0 092 055
ore; ADV; ADV; ADVgen; or4|or; or; nima2; 0 093 253
ore; ADV; ADV; ADVgen; or4|or; or; nima2; 0 094 364
ensenble; ADV; ADV; ADVgen; ensemble; ensemble; nima2; 0 094 420
ensenble; ADV; ADV; ADVgen; ensemble; ensemble; nima2; 0 094 872
ensenble; ADV; ADV; ADVgen; ensemble; ensemble; nima2; 0 094 976
ensenble; ADV; ADV; ADVgen; ensemble; ensemble; nima2; 0 095 651
ore; ADV; ADV; ADVgen; or4|or; or; nima2; 0 096 055
mie; ADV; ADV; ADVneg; mie; mie; nima2; 0 096 433
