word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 000 200
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 001 029
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 001 154
tresque; ADV; ADV; PRE; tresque1; tresque; rolandox; 0 001 198
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; rolandox; 0 001 323
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 001 447
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 001 833
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 002 237
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 002 288
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 002 672
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 002 912
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 003 527
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 003 737
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 003 941
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 004 024
derere; ADV; ADV; PRE; derrier; derrière; rolandox; 0 004 377
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 004 514
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 004 522
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 005 495
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 005 579
desure; ADV; ADV; ADVgen; desor; dessure; rolandox; 0 007 008
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 007 256
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 007 801
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 789
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 811
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 895
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 009 055
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 060
arere; ADV; ADV; ADVgen; ariere; arrière; rolandox; 0 009 391
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 009 664
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 901
ultre; ADV; ADV; ADVgen; outre; outre; rolandox; 0 009 904
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 930
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 010 435
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 011 129
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 011 144
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 011 411
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 011 567
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 012 055
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 012 199
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 012 293
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 012 838
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 013 386
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 013 773
josque; ADV; ADV; PRE; jusque; jusque; rolandox; 0 013 808
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 013 975
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 014 410
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 014 608
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 014 835
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 018
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 015 246
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 300
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 678
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 886
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 016 089
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 142
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 016 242
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 507
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 691
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 016 808
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 185
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 017 341
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 421
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 017 425
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 629
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 017 636
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 017 939
josque; ADV; ADV; PRE; jusque; jusque; rolandox; 0 018 364
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 018 631
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 019 222
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 019 300
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 019 616
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 019 964
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 020 260
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 020 296
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 020 417
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 020 453
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 021 184
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 021 449
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 022 505
derere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 023 329
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 023 791
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 023 850
darere; ADV; ADV; ADVgen; derrier; derrière; rolandox; 0 024 799
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 025 178
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 026 311
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 026 607
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 026 672
josque; ADV; ADV; PRE; jusque; jusque; rolandox; 0 026 784
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; rolandox; 0 027 657
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; rolandox; 0 027 988
tresque; ADV; ADV; PRE; tresque1; tresque; rolandox; 0 028 030
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 028 103
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 028 250
tresque; ADV; ADV; PRE; tresque1; tresque; rolandox; 0 028 783
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 029 051
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 029 136
josque; ADV; ADV; PRE; jusque; jusque; rolandox; 0 029 322
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; rolandox; 0 029 498
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 029 896
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 029 951
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 148
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 289
mie; ADV; ADV; ADVneg; mie; mie; gorm; 0 030 354
ariere; ADV; ADV; ADVgen; ariere; arrière; gorm; 0 030 428
