Référence	ContexteGauche	Pivot	ContexteDroit
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 000 366	piz me ventelet l ost des franceis verrez	sempres desfere	francs s en irunt en france la lur tere quant cascuns ert
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 000 708	ad en baillie ne s poet garder que	alques ne	l engignent li empereres se fait e balz e liez cordres ad
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 001 524	vos franceis un cunseill en presistes loerent vos	alques de	legerie dous de vos cuntes al paien tramesistes l un fut basan
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 002 015	al sarazin en espaigne si n vois vedeir	alques de	sun semblant " li empereres respunt par maltalant 'alez sedeir desur
certes, ADV, ADV, ADVgen, certes, certes, rolandox, 0 002 492	reis 'trop avez maltalant or irez vos	certes quant	jo l cumant jo i puis aler mais n i avrai guarant
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 003 896	ad dit marsilie 'jo vos ai fait	alques de	legerie quant por ferir vus demustrai grant ire guaz vos en dreit
detres, ADV, ADV, PRE, detriès, detriès, rolandox, 0 004 450	as meillors porz de sizer sa rereguarde avrat	detres sei	mise iert i sis nies li quens rollant li riches e oliver
primes, ADV, ADV, NOMcom, prime, prime, rolandox, 0 004 490	yy milie une bataille lur i rendent cil	primes la	gent de france iert blecee e blesmie ne l di por co
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 004 788	guenelun l ad dit 'tenez mun helme	unches meillor	ne vi si nos aidez de rollant li marchis par quel mesure
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 005 397	chevalchent par cez greignurs valees halbercs vestuz e	tres bien	fermeez healmes lacez e ceintes lur espees escuz as cols e lances
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 005 918	que vos avez tendut si li truvez ki	tres bien	li aiut " li reis li dunet e rollant l a recut
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 006 957	co dist al rei 'ne vos esmaiez	unches plus	valt mahum que seint perre de rume se lui servez l onur
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 007 860	cez hanstes luisent cil espiet brun bataille avrez	unches mais	tel ne fut seignurs franceis de deu aiez vertut el camp estez
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 007 942	fols en dulce france en perdreie mun los	sempres ferrai	de durendal granz colps sanglant en ert li branz entresqu a l
alques, ADV, ADV, PROind, alques|auques, auques, rolandox, 0 008 268	irur chevalchent dist oliver 'rollant veez en	alques cist	nus sunt pres mais trop nus est loinz carles vostre olifan suner
pres, ADV, ADV, ADVgen, près, près, rolandox, 0 008 272	'rollant veez en alques cist nus sunt	pres mais	trop nus est loinz carles vostre olifan suner vos ne l deignastes
