Référence	ContexteGauche	Pivot	ContexteDroit
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 009 064	culvert carles n est mie fol ne traisun	unkes amer	ne volt il fist que proz qu il nus laisad as porz
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 010 425	el cors li unt frait mort le tresturnent	tres enmi	un guaret ne l oi dire ne jo mie ne l sai
guaires, ADV, ADV, ADVgen, gaire, guère, rolandox, 0 014 438	ci recevrums e or sai ben n avons	guaires a	vivre mais tut seit fel cher ne se vende primes ferez seignurs
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 018 785	se dort cuntre tere icele noit n unt	unkes escalguaite	li emperere s est culcét en un pret sun grant espiet met
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 019 844	parvunt les noveles gent paienor ne voelent cesser	unkes issent	de mer venent as ewes dulces laisent marbrose e si laisent marbrise
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 023 440	unt talent qu il li faillent adubez vus	sempres avrez	bataille " dist baligant 'or oi grant vasselage sunez vos graisles
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 023 947	otri quanque m avez ci quis cuntre franceis	sempres irez	ferir si i merrez torleu le rei persis e dapamort un altre
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 027 185	canonie de false lei que deus nen amat	unkes ordres	nen unt ne en lor chefs corones quant ele vit arrabiz si
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 027 790	" pert la culor chet as piez carlemagne	sempres est	morte deus ait mercit de l anme franceis barons en plurent e
gesques, ADV, ADV, PRE, jusque, jusque, gorm, 0 030 202	de termes sur un cheval bai de chastele	gesques al	rei xm n areste si l fiert sur la targe novele qu
pres, ADV, ADV, ADVgen, près, près, gorm, 0 031 006	" bien l ai senti vos me ravrés	pres a	veisin " il traist d or enheudi si l fiert amunt al
gesques, ADV, ADV, PRE, jusque, jusque, gorm, 0 031 303	gens cumme terrestre prof vait bruiant cumme tempeste	gesques al	rei xm n areste si l fert sur la targe novele qu
auques, ADV, ADV, ADVgen, alques|auques, auques, gorm, 0 031 848	e broche e fiert qu il lur est	auques esloinné	ses plaies prennent a sainnier li cor li ment e hue chiet
gesques, ADV, ADV, PRE, jusque, jusque, gorm, 0 032 204	trente set piez pernez les resnes del destrier	gesques a	lui me cunduiez " a icest mot s est eslessé xm li
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 033 981	irae e en sa furur trublerat eals jo	acertes ordenai	men rei sur syon mun saint munt je recunterai le cumandement de
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 034 420	de sancs e tricheur abomerat nostre sire jo	acertes en	la multitudine de la tue misericorde jo enterrai en ta maisun jo
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 035 181	perit lur memorie ot eals meemes li sires	acertes en	parmenabletet serrat il establit a jugier sun solier e il meeme jugerat
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 035 792	umes li sires le juste pruevet le felun	acertes e	l amant felunie het l aneme de lui il plut sur les
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 036 043	enemi se esleecerunt cum jo serai esmout jeo	acertes en	la tue misericorde me afi esleecat li miens quers en tuen saluable
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 036 715	e lerrunt lur remesilles a lur enfanz jo	acertes en	justise verrai la tue face jo serai aemplit cum jo veillerai de
acertes, ADV, ADV, ADVgen, UNKNOWN, à.certes, psautier, 0 037 902	cist en curres e cist en chevals nus	acertes el	num del seignur de nostre deu serum recordét il sunt encurvét e
