word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 009 064
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 010 425
guaires; ADV; ADV; ADVgen; gaire; guère; rolandox; 0 014 438
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 018 785
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 019 844
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 023 440
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 023 947
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 027 185
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 027 790
gesques; ADV; ADV; PRE; jusque; jusque; gorm; 0 030 202
pres; ADV; ADV; ADVgen; près; près; gorm; 0 031 006
gesques; ADV; ADV; PRE; jusque; jusque; gorm; 0 031 303
auques; ADV; ADV; ADVgen; alques|auques; auques; gorm; 0 031 848
gesques; ADV; ADV; PRE; jusque; jusque; gorm; 0 032 204
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 033 981
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 034 420
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 035 181
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 035 792
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 036 043
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 036 715
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 037 902
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 039 375
lores; ADV; ADV; ADVgen; lors; lors; psautier; 0 039 516
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 039 517
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 039 613
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 040 306
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 040 458
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 040 869
pres; ADV; ADV; ADVgen; près; près; psautier; 0 041 411
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 042 315
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 043 860
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 046 192
lores; ADV; ADV; ADVgen; lors; lors; psautier; 0 046 394
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 047 013
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 048 643
tres; ADV; ADV; ADVgen; tres|très; très; psautier; 0 048 724
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 050 208
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 050 893
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 051 746
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 052 236
lores; ADV; ADV; ADVgen; lors; lors; psautier; 0 052 351
dunches; ADV; ADV; ADVgen; donc; donc; psautier; 0 052 518
dunches; ADV; ADV; ADVgen; donc; donc; psautier; 0 052 529
pres; ADV; ADV; ADVgen; près; près; psautier; 0 055 250
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 055 654
acertes; ADV; ADV; ADVgen; UNKNOWN; à.certes; psautier; 0 055 883
