word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 000 200
uncore; ADV; ADV; ADVgen; encore; encore; rolandox; 0 001 154
tresque; ADV; ADV; PRE; tresque1; tresque; rolandox; 0 001 198
ore; ADV; NOM; ADVgen; ore1|ore2|ore3; or; rolandox; 0 001 323
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 001 833
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 002 237
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 002 288
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 002 672
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 003 527
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 003 941
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 004 024
derere; ADV; ADV; PRE; derrier; derrière; rolandox; 0 004 377
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 004 514
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 004 522
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 005 579
desure; ADV; ADV; ADVgen; desor; dessure; rolandox; 0 007 008
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 789
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 008 895
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 009 055
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 060
arere; ADV; ADV; ADVgen; ariere; arrière; rolandox; 0 009 391
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 009 664
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 901
ultre; ADV; ADV; ADVgen; outre; outre; rolandox; 0 009 904
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 009 930
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 010 435
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 011 129
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 011 411
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 011 567
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 012 055
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 012 293
ore; ADV; ADV; ADVgen; or4|or; or; rolandox; 0 013 386
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 013 975
ensemble; ADV; ADV; ADVgen; ensemble; ensemble; rolandox; 0 014 410
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 300
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 015 678
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 142
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 507
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 016 691
ultre; ADV; ADV; PRE; outre; outre; rolandox; 0 016 808
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 185
mare; ADV; ADV; ADVgen; mar; mar; rolandox; 0 017 341
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 421
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 017 425
mie; ADV; ADV; ADVneg; mie; mie; rolandox; 0 017 629
meisme; ADV; ADV; ADJind; mëisme; même; rolandox; 0 017 939
