Référence	ContexteGauche	Pivot	ContexteDroit
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 000 200	sun seignur aider e dist al rei '	ore	ne vus esmaiez mandez carlun a l orguillus e al fier fedeilz
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 001 029	sun chef enclin de sa parole ne fut	mie	hastifs sa custume est qu il parolet a leisir quant se redrecet
uncore, ADV, ADV, ADVgen, encore, encore, rolandox, 0 001 154	vuldrat il chrestiens devenir " charles respunt '	uncore	purrat guarir " bels fut li vespres e li soleilz fut cler
tresque, ADV, ADV, PRE, tresque1, tresque, rolandox, 0 001 198	serjanz les unt bien cunreez la noit demurent	tresque	vint al jur cler li empereres est par matin levét messe e
ore, ADV, NOM, ADVgen, ore1|ore2|ore3, or, rolandox, 0 001 323	guenes i vint ki la traisun fist des	ore	cumencet le cunseill que mal prist 'seignurs barons " dist li
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 001 447	fenie li quens rollant ki ne l otriet	mie	en piez se drecet si li vint cuntredire il dist al rei
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 001 833	jo irai par vostre dun livrez m en	ore	le guant e le bastun " respunt li reis 'vos estes
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 002 237	guenes respunt 'pur mei n iras tu	mie	tu n ies mes hom ne jo ne sui tis sire carles
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 002 288	cumencat a rire quant co veit guenes que	ore	s en rit rollant dunc ad tel doel pur poi d ire
mare, ADV, ADV, ADVgen, mar, mar, rolandox, 0 002 672	chevaler plorer ki tuit li dient 'tant	mare	fustes ber en cort al rei mult i avez estéd noble vassal
uncore, ADV, ADV, ADVgen, encore, encore, rolandox, 0 002 912	sai veirs nul hume ne mes rollant ki	uncore	en avrat hunte er matin sedeit li emperere suz l umbre vint
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 003 527	receit blancandrin mais de s espee ne volt	mie	guerpir en sun puign destre par l orié punt la tint dient
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 003 737	uncle l algalife altrement ne m amerat il	mie	" apres parlat ses filz envers marsilies e dist al rei '
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 003 941	" guenes respunt 'jo ne l desotrei	mie	deus se lui plaist a bien le vos mercie " co dist
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 004 024	osteier " guenes respunt 'carles n est	mie	tels n est hom ki l veit e conuistre le set que
derere, ADV, ADV, PRE, derrier, derrière, rolandox, 0 004 377	s en repairerat li reis sa rereguarde lerrat	derere	sei iert i sis nies li quens rollant co crei e oliver
meisme, ADV, ADV, ADJind, mëisme, même, rolandox, 0 004 514	iert la martirie altre bataille lur livrez de	meisme	de quel que seit rollant n estuertrat mie dunc avrez faite gente
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 004 522	meisme de quel que seit rollant n estuertrat	mie	dunc avrez faite gente chevalerie n avrez mais guere en tute vostre
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 005 495	carles se dort qu il ne s esveillet	mie	apres iceste altre avisiun sunjat qu il en france ert a sa
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 005 579	quels d els la veintrat carles se dort	mie	ne s esveillat tresvait la noit e apert la clere albe parmi
desure, ADV, ADV, ADVgen, desor, dessure, rolandox, 0 007 008	la metrai encuntre asez orrez la quele irat	desure	franceis murrunt si a nus s abandunent carles li velz avrat e
