Référence	ContexteGauche	Pivot	ContexteDroit
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 000 200	sun seignur aider e dist al rei '	ore ne	vus esmaiez mandez carlun a l orguillus e al fier fedeilz servises
uncore, ADV, ADV, ADVgen, encore, encore, rolandox, 0 001 154	vuldrat il chrestiens devenir " charles respunt '	uncore purrat	guarir " bels fut li vespres e li soleilz fut cler les
tresque, ADV, ADV, PRE, tresque1, tresque, rolandox, 0 001 198	serjanz les unt bien cunreez la noit demurent	tresque vint	al jur cler li empereres est par matin levét messe e matines
ore, ADV, NOM, ADVgen, ore1|ore2|ore3, or, rolandox, 0 001 323	guenes i vint ki la traisun fist des	ore cumencet	le cunseill que mal prist 'seignurs barons " dist li emperere
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 001 833	jo irai par vostre dun livrez m en	ore le	guant e le bastun " respunt li reis 'vos estes saives
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 002 237	guenes respunt 'pur mei n iras tu	mie tu	n ies mes hom ne jo ne sui tis sire carles comandet
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 002 288	cumencat a rire quant co veit guenes que	ore s	en rit rollant dunc ad tel doel pur poi d ire ne
mare, ADV, ADV, ADVgen, mar, mar, rolandox, 0 002 672	chevaler plorer ki tuit li dient 'tant	mare fustes	ber en cort al rei mult i avez estéd noble vassal vos
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 003 527	receit blancandrin mais de s espee ne volt	mie guerpir	en sun puign destre par l orié punt la tint dient paien
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 003 941	" guenes respunt 'jo ne l desotrei	mie deus	se lui plaist a bien le vos mercie " co dist marsilies
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 004 024	osteier " guenes respunt 'carles n est	mie tels	n est hom ki l veit e conuistre le set que co
derere, ADV, ADV, PRE, derrier, derrière, rolandox, 0 004 377	s en repairerat li reis sa rereguarde lerrat	derere sei	iert i sis nies li quens rollant co crei e oliver li
meisme, ADV, ADV, ADJind, mëisme, même, rolandox, 0 004 514	iert la martirie altre bataille lur livrez de	meisme de	quel que seit rollant n estuertrat mie dunc avrez faite gente chevalerie
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 004 522	meisme de quel que seit rollant n estuertrat	mie dunc	avrez faite gente chevalerie n avrez mais guere en tute vostre vie
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 005 579	quels d els la veintrat carles se dort	mie ne	s esveillat tresvait la noit e apert la clere albe parmi cel
desure, ADV, ADV, ADVgen, desor, dessure, rolandox, 0 007 008	la metrai encuntre asez orrez la quele irat	desure franceis	murrunt si a nus s abandunent carles li velz avrat e deol
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 008 789	vostre olifan ne deignastes suner ne de carlun	mie vos	n en avez il n en set mot n i ad culpes
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 008 895	fereient il el e sarrazins n es unt	mie dutez	francs e paiens as les vus ajustez li nies marsilie il ad
ultre, ADV, ADV, PRE, outre, outre, rolandox, 0 009 055	leserat co dit que n i parolt '	ultre culvert	carles n est mie fol ne traisun unkes amer ne volt il
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 009 060	i parolt 'ultre culvert carles n est	mie fol	ne traisun unkes amer ne volt il fist que proz qu il
arere, ADV, ADV, ADVgen, ariere, arrière, rolandox, 0 009 391	sa hanste l abat mort el chemin guardet	arere veit	le glutun gesir ne laisserat que n i parolt co dit '
ultre, ADV, ADV, PRE, outre, outre, rolandox, 0 009 664	empeinst le ben tut le fer li mist	ultre pleine	sa hanste el camp mort le tresturnet co dist rollant 'cist
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 009 901	cors ne l ad tuchét la hanste fruisset	mie n	en ultre s en vait qu il n i ad desturber sunet
ultre, ADV, ADV, ADVgen, outre, outre, rolandox, 0 009 904	ad tuchét la hanste fruisset mie n en	ultre s	en vait qu il n i ad desturber sunet sun gresle pur
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 009 930	bataille est merveilluse e cumune li quens rollant	mie ne	s asouret fiert de l espiet tant cume hanste li duret a
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 010 435	un guaret ne l oi dire ne jo	mie ne	l sai li quels d els dous en fut li plus isnels
