Référence	ContexteGauche	Pivot	ContexteDroit
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 001 447	fenie li quens rollant ki ne l otriet	mie en	piez se drecet si li vint cuntredire il dist al rei '
uncore, ADV, ADV, ADVgen, encore, encore, rolandox, 0 002 912	sai veirs nul hume ne mes rollant ki	uncore en	avrat hunte er matin sedeit li emperere suz l umbre vint i
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 005 495	carles se dort qu il ne s esveillet	mie apres	iceste altre avisiun sunjat qu il en france ert a sa capele
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 007 256	e dist al rei 'ne vos esmaiez	mie en	rencesvals irai rollant ocire ne oliver n en porterat la vie li
meisme, ADV, ADV, ADJind, mëisme, même, rolandox, 0 007 801	ad que mesure n en set e lui	meisme en	est mult esguarét cum il einz pout del pui est avalét vint
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 008 811	li bers cil ki la sunt ne funt	mie a	blasmer kar chevalchez a quanque vos puez seignors baruns el camp vos
uncore, ADV, ADV, ADVgen, encore, encore, rolandox, 0 012 199	en une halte roche sun cumpaignun gerers ocit	uncore e	berenger e guiun de seint antonie puis vait ferir un riche duc
derere, ADV, ADV, ADVgen, derrier, derrière, rolandox, 0 013 773	e les ewes curant sunent cil graisle e	derere e	devant e tuit rachatent encuntre l olifant li empereres chevalchet ireement e
josque, ADV, ADV, PRE, jusque, jusque, rolandox, 0 013 808	se dement e deu qu il guarisset rollant	josque il	vengent el camp cumunement ensembl od lui i ferrunt veirement de co
derere, ADV, ADV, ADVgen, derrier, derrière, rolandox, 0 014 608	le ben des esperuns a or fiert oliver	derere enmi	le dos le blanc osberc li ad descust el cors parmi le
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 014 835	poust remembrer l enseigne carle n i volt	mie ublier	'munjoie " escriet e haltement e cler rollant apelet sun ami
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 015 018	nasel mais en la teste ne l ad	mie adesét	a icel colp l ad rollant reguardét si li demandet dulcement e
ensemble, ADV, ADV, ADVgen, ensemble, ensemble, rolandox, 0 015 246	prist 'sire cumpaign tant mar fustes hardiz	ensemble avum	estét e anz e dis ne m fesis mal ne jo ne
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 015 886	li val paien l entendent ne l tindrent	mie en	gab dit l un a l altre 'karlun avrum nus ja
ensemble, ADV, ADV, ADVgen, ensemble, ensemble, rolandox, 0 016 089	a ceval pur vostre amur ici prendrai estal	ensemble avruns	e le ben e le mal ne vos lerrai pur nul hume
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 016 242	desmailét mais enz el cors ne l unt	mie adesét	mais veillantif unt en yy lius nafrét desuz le cunte si l
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 019 222	abat ne quels chiet li emperere n est	mie esveillét	apres icel li vien un altre avisiun qu il ert en france
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 020 453	m ociet dist clarien 'dame ne parlez	mie itant	messages sumes al paien baligant marsiliun co dit serat guarant si l
meisme, ADV, ADV, ADJind, mëisme, même, rolandox, 0 021 449	franceis 'segnurs le pas tenez kar mei	meisme estoet	avant aler pur mun que vuldreie truver a eis esteie a une
derere, ADV, ADV, ADVgen, derrier, derrière, rolandox, 0 023 329	si chevalchet mult aficheement sunent cil greisle e	derere e	devant sur tuz les altres bundist li olifant plurent franceis pur pitet
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 023 850	milie cumbatanz trestuz les altres ne pris jo	mie un	guant li empereres repairet veirement s il m at nunciét mes li
darere, ADV, ADV, ADVgen, derrier, derrière, rolandox, 0 024 799	loee mult fierement chevalchet li emperere il est	darere od	cele gent barbee desur lur bronies lur barbes unt getees altresi blanches
mie, ADV, ADV, ADVneg, mie, mie, rolandox, 0 026 607	les oz ajusterent lor enseignes n i unt	mie ubliees	li 'preciuse " ad criee carles 'munjoie " l enseigne
tresque, ADV, ADV, PRE, tresque1, tresque, rolandox, 0 028 030	jugez le dreit il fut en l ost	tresque en	espaigne od mei si me tolit yy milie de mes franceis e
ore, ADV, ADV, ADVgen, or4|or, or, rolandox, 0 028 103	n en i otrei " respundent franc '	ore en	tendrum cunseill " devant le rei la s estut guenelun cors ad
ariere, ADV, ADV, ADVgen, ariere, arrière, gorm, 0 029 951	" quant il ot mort le bon vassal	ariere enchaca	le cheval puis mist avant sun estandart n em la li baille
ariere, ADV, ADV, ADVgen, ariere, arrière, gorm, 0 030 148	" quant il ot morz les bons vassaus	ariere enchaca	les chevaus puis mist avant sun estandart n em li baille un
mie, ADV, ADV, ADVneg, mie, mie, gorm, 0 030 354	fendre la blanche broine descuncendre mes ne pot	mie en	la car prendre xm li lanca une tambre parmi le cors li
ariere, ADV, ADV, ADVgen, ariere, arrière, gorm, 0 030 428	" quant il ot mort le bon vassal	ariere enchaca	sun cheval n em la li baille un tuenart li estur fut
