Référence	ContexteGauche	Pivot	ContexteDroit
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 000 366	piz me ventelet l ost des franceis verrez	sempres	desfere francs s en irunt en france la lur tere quant cascuns
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 000 708	ad en baillie ne s poet garder que	alques	ne l engignent li empereres se fait e balz e liez cordres
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 001 524	vos franceis un cunseill en presistes loerent vos	alques	de legerie dous de vos cuntes al paien tramesistes l un fut
certes, ADV, ADV, ADVgen, certes, certes, rolandox, 0 001 896	i puis aler mult ben n u ferez	certes	" dist li quens oliver 'vostre curages est mult pesmes e
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 002 015	al sarazin en espaigne si n vois vedeir	alques	de sun semblant " li empereres respunt par maltalant 'alez sedeir
certes, ADV, ADV, ADVgen, certes, certes, rolandox, 0 002 492	reis 'trop avez maltalant or irez vos	certes	quant jo l cumant jo i puis aler mais n i avrai
alques, ADV, ADV, ADVgen, alques|auques, auques, rolandox, 0 003 896	ad dit marsilie 'jo vos ai fait	alques	de legerie quant por ferir vus demustrai grant ire guaz vos en
detres, ADV, ADV, PRE, detriès, detriès, rolandox, 0 004 450	as meillors porz de sizer sa rereguarde avrat	detres	sei mise iert i sis nies li quens rollant li riches e
primes, ADV, ADV, NOMcom, prime, prime, rolandox, 0 004 490	yy milie une bataille lur i rendent cil	primes	la gent de france iert blecee e blesmie ne l di por
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 004 788	guenelun l ad dit 'tenez mun helme	unches	meillor ne vi si nos aidez de rollant li marchis par quel
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 004 876	rume vostre emperere si bones n en out	unches	" il les ad prises en sa hoese les butet li reis
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 005 397	chevalchent par cez greignurs valees halbercs vestuz e	tres	bien fermeez healmes lacez e ceintes lur espees escuz as cols e
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 005 918	que vos avez tendut si li truvez ki	tres	bien li aiut " li reis li dunet e rollant l a
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 006 957	co dist al rei 'ne vos esmaiez	unches	plus valt mahum que seint perre de rume se lui servez l
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 007 860	cez hanstes luisent cil espiet brun bataille avrez	unches	mais tel ne fut seignurs franceis de deu aiez vertut el camp
sempres, ADV, ADV, ADVgen, sempre, sempres, rolandox, 0 007 942	fols en dulce france en perdreie mun los	sempres	ferrai de durendal granz colps sanglant en ert li branz entresqu a
alques, ADV, ADV, PROind, alques|auques, auques, rolandox, 0 008 268	irur chevalchent dist oliver 'rollant veez en	alques	cist nus sunt pres mais trop nus est loinz carles vostre olifan
pres, ADV, ADV, ADVgen, près, près, rolandox, 0 008 272	'rollant veez en alques cist nus sunt	pres	mais trop nus est loinz carles vostre olifan suner vos ne l
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 008 762	e gent nuls reis de france n out	unkes	si vaillant " a ces paroles vunt les oz ajustant dist oliver
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 009 064	culvert carles n est mie fol ne traisun	unkes	amer ne volt il fist que proz qu il nus laisad as
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 009 259	jo n ai essoign ferez i francs kar	tres	ben les veincrum munjoie " escriet co est l enseigne carlun uns
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 010 425	el cors li unt frait mort le tresturnent	tres	enmi un guaret ne l oi dire ne jo mie ne l
endementres, ADV, ADV, ADVgen, endementre, endementres, rolandox, 0 010 502	me sunt bel " la bataille est aduree	endementres	franc e paien merveilus colps i rendent fierent li un li altre
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 010 979	prendrat l emperere bataille avrum e forte aduree	unches	mais hom tel ne vit ajustee jo i ferrai de durendal m
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 011 091	il ne fesist trestut l or de galice	unches	nuls hom ne l vit juer ne rire vasselage ad e mult
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 011 160	mielz est mult que jo l alge ocire	unches	n amai cuard ne cuardie " li arcevesque cumencet la bataille siet
tres, ADV, ADV, PRE, tres|très, très, rolandox, 0 011 308	que un dener vaillet le cors li trenchet	tres	l un costet qu a l altre que mort l abat en
tres, ADV, ADV, ADVgen, tres|très, très, rolandox, 0 011 838	abat mort des arcuns 'ferez paien car	tres	ben les veintrum " dient franceis 'deus quel doel de baron
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 012 069	vait turpin li arcevesque tel coronét ne chantat	unches	messe ki de sun cors feist tantes proecces dist al paien '
unches, ADV, ADV, ADVgen, onque, onques, rolandox, 0 013 900	quels seisante humes i ad en sa cumpaigne	unches	meillurs n en out reis ne rollant reguardet es munz e es
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 013 955	il les facet gesir meillors vassals de vos	unkes	ne vi si lungement tuz tens m avez servit a oes carlon
unkes, ADV, ADV, ADVgen, onque, onques, rolandox, 0 014 009	pois tenser ne guarantir ait vos deus ki	unkes	ne mentit oliver frere vos ne dei jo faillir de doel murra
gaires, ADV, ADV, ADVgen, gaire|gaires, guère, rolandox, 0 014 244	de russilun li quens rollant ne li est	gaires	loign dist al paien 'damnesdeus mal te duinst a si grant
guaires, ADV, ADV, ADVgen, gaire, guère, rolandox, 0 014 438	ci recevrums e or sai ben n avons	guaires	a vivre mais tut seit fel cher ne se vende primes ferez
primes, ADV, ADV, ADVgen, prime, prime, rolandox, 0 014 449	mais tut seit fel cher ne se vende	primes	ferez seignurs des espees furbies si calengez e voz mors e vos
