word; pos; ttpos; rrnpos; ttlemma; rnnlemma; id; position
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 000 366
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 000 708
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 001 524
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 002 015
certes; ADV; ADV; ADVgen; certes; certes; rolandox; 0 002 492
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 003 896
detres; ADV; ADV; PRE; detriès; detriès; rolandox; 0 004 450
primes; ADV; ADV; NOMcom; prime; prime; rolandox; 0 004 490
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 004 788
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 005 397
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 005 918
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 006 957
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 007 860
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 007 942
alques; ADV; ADV; PROind; alques|auques; auques; rolandox; 0 008 268
pres; ADV; ADV; ADVgen; près; près; rolandox; 0 008 272
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 008 762
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 009 259
endementres; ADV; ADV; ADVgen; endementre; endementres; rolandox; 0 010 502
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 010 979
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 011 091
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 011 160
tres; ADV; ADV; PRE; tres|très; très; rolandox; 0 011 308
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 011 838
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 012 069
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 013 900
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 013 955
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 014 009
gaires; ADV; ADV; ADVgen; gaire|gaires; guère; rolandox; 0 014 244
primes; ADV; ADV; ADVgen; prime; prime; rolandox; 0 014 449
pres; ADV; ADV; ADVgen; près; près; rolandox; 0 014 975
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 015 383
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 015 432
guaires; ADV; ADV; ADVgen; gaire; guère; rolandox; 0 015 847
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 016 048
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 016 705
pres; ADV; ADV; ADVgen; près; près; rolandox; 0 016 972
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 017 161
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 017 193
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 017 243
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 017 956
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 018 828
pres; ADV; ADV; ADVgen; près; près; rolandox; 0 020 521
primes; ADV; ADV; ADVgen; prime; prime; rolandox; 0 021 355
unques; ADV; ADV; ADVgen; onque; onques; rolandox; 0 021 659
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 022 169
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 022 295
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 024 012
unches; ADV; ADV; ADVgen; onque; onques; rolandox; 0 024 165
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 024 409
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 024 497
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 024 831
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 025 703
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 025 723
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 025 860
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 026 194
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 026 375
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 026 531
unkes; ADV; ADV; ADVgen; onque; onques; rolandox; 0 026 783
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 026 867
tres; ADV; ADV; ADVgen; tres|très; très; rolandox; 0 027 926
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 028 307
alques; ADV; ADV; ADVgen; alques|auques; auques; rolandox; 0 028 562
gueres; ADV; ADV; ADVgen; gaire|gaires; guère; rolandox; 0 028 566
sempres; ADV; ADV; ADVgen; sempre; sempres; rolandox; 0 028 672
es; ADV; ADV; ADVgen; UNKNOWN; es; gorm; 0 029 979
lores; ADV; ADV; ADVgen; lors; lors; gorm; 0 029 998
unques; ADV; ADV; ADVgen; onque; onques; gorm; 0 030 097
